khizarhussain16, 35903, 4, 2016-3-8 23:28:46
Avatar_ID: 2, x :6, y: 4
Avatar_ID: 3, x :21, y: 22
Avatar_ID: 0, x :31, y: 16
Avatar_ID: 1, x :10, y: 8
Avatar_ID: 2, x :6, y: 4
Avatar_ID: 3, x :21, y: 22
Avatar_ID: 0, x :31, y: 16
Avatar_ID: 1, x :10, y: 8
Avatar_ID: 2, x :5, y: 4
Avatar_ID: 3, x :21, y: 21
Avatar_ID: 0, x :30, y: 16
Avatar_ID: 1, x :10, y: 8
Avatar_ID: 2, x :5, y: 5
Avatar_ID: 3, x :21, y: 21
Avatar_ID: 0, x :30, y: 16
Avatar_ID: 1, x :10, y: 7
Avatar_ID: 2, x :6, y: 5
Avatar_ID: 3, x :21, y: 20
Avatar_ID: 0, x :29, y: 16
Avatar_ID: 1, x :10, y: 7
Avatar_ID: 2, x :6, y: 5
Avatar_ID: 3, x :20, y: 20
Avatar_ID: 0, x :29, y: 17
Avatar_ID: 1, x :10, y: 7
Avatar_ID: 2, x :6, y: 5
Avatar_ID: 3, x :20, y: 20
Avatar_ID: 0, x :29, y: 17
Avatar_ID: 1, x :11, y: 7
Avatar_ID: 2, x :6, y: 5
Avatar_ID: 3, x :19, y: 20
Avatar_ID: 0, x :29, y: 17
Avatar_ID: 1, x :11, y: 6
Avatar_ID: 2, x :5, y: 5
Avatar_ID: 3, x :19, y: 21
Avatar_ID: 0, x :28, y: 17
Avatar_ID: 1, x :11, y: 6
Avatar_ID: 2, x :5, y: 6
Avatar_ID: 3, x :20, y: 21
Avatar_ID: 0, x :28, y: 18
Avatar_ID: 1, x :11, y: 6
Avatar_ID: 2, x :5, y: 6
Avatar_ID: 3, x :20, y: 21
Avatar_ID: 0, x :28, y: 18
Avatar_ID: 1, x :12, y: 6
Avatar_ID: 2, x :5, y: 7
Avatar_ID: 3, x :20, y: 21
Avatar_ID: 0, x :28, y: 19
Avatar_ID: 1, x :12, y: 6
Avatar_ID: 2, x :5, y: 7
Avatar_ID: 3, x :20, y: 22
Avatar_ID: 0, x :29, y: 19
Avatar_ID: 1, x :13, y: 6
Avatar_ID: 2, x :5, y: 7
Avatar_ID: 3, x :20, y: 22
Avatar_ID: 0, x :29, y: 18
Avatar_ID: 1, x :13, y: 5
Avatar_ID: 2, x :5, y: 7
Avatar_ID: 3, x :20, y: 23
Avatar_ID: 0, x :29, y: 18
Avatar_ID: 1, x :13, y: 5
Avatar_ID: 2, x :5, y: 6
Avatar_ID: 3, x :21, y: 23
Avatar_ID: 0, x :29, y: 18
Avatar_ID: 1, x :13, y: 5
Avatar_ID: 2, x :5, y: 6
Avatar_ID: 3, x :21, y: 23
Avatar_ID: 0, x :30, y: 18
Avatar_ID: 1, x :14, y: 5
Avatar_ID: 2, x :5, y: 5
